layer,expert,activation_count,share_of_layer_topk_picks
8,11,1023,0.003902
8,12,790,0.003014
8,13,1955,0.007458
8,14,1186,0.004524
8,15,3975,0.015163
8,16,3508,0.013382
8,17,1642,0.006264
8,18,2898,0.011055
8,19,1219,0.004650
8,20,3053,0.011646
8,21,4083,0.015575
8,22,2390,0.009117
8,23,4314,0.016457
8,24,575,0.002193
8,25,1818,0.006935
8,26,1614,0.006157
8,27,2462,0.009392
8,28,1820,0.006943
8,29,2380,0.009079
8,30,1941,0.007404
8,31,1241,0.004734
8,32,872,0.003326
8,33,2809,0.010715
8,34,1344,0.005127
8,35,2363,0.009014
8,36,2192,0.008362
8,37,1478,0.005638
8,38,815,0.003109
8,39,2017,0.007694
8,40,3115,0.011883
8,41,342,0.001305
8,42,961,0.003666
8,43,4767,0.018185
8,44,1951,0.007442
8,45,2303,0.008785
8,46,3121,0.011906
8,47,3550,0.013542
8,48,2210,0.008430
8,49,2619,0.009991
8,50,1345,0.005131
8,51,1861,0.007099
8,52,947,0.003613
8,53,2459,0.009380
8,54,2324,0.008865
8,55,2402,0.009163
8,56,2482,0.009468
8,57,671,0.002560
8,58,1737,0.006626
8,59,1258,0.004799
8,60,1576,0.006012
8,61,2358,0.008995
8,62,3432,0.013092
8,63,1716,0.006546
8,64,1272,0.004852
8,65,1468,0.005600
8,66,1689,0.006443
8,67,1730,0.006599
8,68,2145,0.008183
8,69,2397,0.009144
8,70,810,0.003090
8,71,791,0.003017
8,72,1381,0.005268
8,73,1453,0.005543
8,74,3308,0.012619
8,75,1610,0.006142
8,76,2753,0.010502
8,77,1058,0.004036
8,78,922,0.003517
8,79,4965,0.018940
8,80,2885,0.011005
8,81,1090,0.004158
8,82,1740,0.006638
8,83,4039,0.015408
8,84,2245,0.008564
8,85,1450,0.005531
8,86,2790,0.010643
8,87,2378,0.009071
8,88,631,0.002407
8,89,4598,0.017540
8,90,2920,0.011139
8,91,1760,0.006714
8,92,1477,0.005634
8,93,1344,0.005127
8,94,690,0.002632
8,95,1921,0.007328
8,96,1322,0.005043
8,97,1048,0.003998
8,98,1293,0.004932
8,99,4288,0.016357
8,100,1400,0.005341
8,101,2976,0.011353
8,102,3488,0.013306
8,103,2034,0.007759
8,104,2696,0.010284
8,105,1143,0.004360
8,106,1594,0.006081
8,107,1990,0.007591
8,108,1205,0.004597
8,109,1244,0.004745
8,110,4052,0.015457
8,111,3071,0.011715
8,112,1864,0.007111
8,113,1107,0.004223
8,114,2125,0.008106
8,115,1175,0.004482
8,116,1687,0.006435
8,117,1976,0.007538
8,118,2019,0.007702
8,119,1348,0.005142
8,120,2628,0.010025
8,121,3292,0.012558
8,122,1591,0.006069
8,123,2094,0.007988
8,124,1414,0.005394
8,125,2050,0.007820
8,126,3187,0.012157
8,127,1489,0.005680
9,0,1284,0.004898
9,1,1686,0.006432
9,2,1512,0.005768
9,3,2013,0.007679
9,4,1853,0.007069
9,5,630,0.002403
9,6,2896,0.011047
9,7,1557,0.005939
9,8,1859,0.007092
9,9,1481,0.005650
9,10,2998,0.011436
9,11,2842,0.010841
